Individual,Num_Faults,LEDS,Swarm_Size,user_order,Fault_Type1,Fault_Type2,Bal_Avg,Video Type
13,0,OFF,SMALL,27,NONE,NONE,1,3
13,0,OFF,LARGE,27,NONE,NONE,1,4
13,1,ON,SMALL,27,PROX,NONE,0.5,5
13,1,ON,LARGE,27,PROX,NONE,0.5,6
13,1,OFF,SMALL,27,WHEEL,NONE,0.5,7
13,1,OFF,LARGE,27,WHEEL,NONE,0.5,8
13,2,ON,SMALL,27,PROX,PROX,1,9
13,2,ON,LARGE,27,WHEEL,PROX,0.983870968,10
13,2,OFF,SMALL,27,WHEEL,PROX,1,11
13,2,OFF,LARGE,27,WHEEL,WHEEL,0.75,12
14,0,ON,SMALL,28,NONE,NONE,0.875,1
14,0,ON,LARGE,28,NONE,NONE,0.859375,2
14,0,OFF,SMALL,28,NONE,NONE,0.8125,3
14,0,OFF,LARGE,28,NONE,NONE,0.921875,4
14,1,ON,SMALL,28,WHEEL,NONE,0.866666667,5
14,1,ON,LARGE,28,WHEEL,NONE,0.968253968,6
14,1,OFF,SMALL,28,PROX,NONE,0.9,7
14,1,OFF,LARGE,28,PROX,NONE,0.333333333,8
14,2,ON,SMALL,28,WHEEL,WHEEL,0.357142857,9
14,2,ON,LARGE,28,WHEEL,WHEEL,0.443548387,10
14,2,OFF,SMALL,28,PROX,PROX,0.821428571,11
14,2,OFF,LARGE,28,PROX,PROX,0.35483871,12
15,0,ON,SMALL,29,NONE,NONE,1,1
15,0,ON,LARGE,29,NONE,NONE,1,2
15,0,OFF,SMALL,29,NONE,NONE,1,3
15,0,OFF,LARGE,29,NONE,NONE,1,4
15,1,ON,SMALL,29,PROX,NONE,1,5
15,1,ON,LARGE,29,PROX,NONE,1,6
15,1,OFF,SMALL,29,WHEEL,NONE,1,7
15,1,OFF,LARGE,29,WHEEL,NONE,0.5,8
15,2,ON,SMALL,29,WHEEL,PROX,1,9
15,2,ON,LARGE,29,PROX,PROX,0.491935484,10
15,2,OFF,SMALL,29,WHEEL,WHEEL,0.75,11
15,2,OFF,LARGE,29,WHEEL,PROX,0.5,12
