,Video Type 1,,,Video Type 2,,,Video Type 3,,,Video Type 4,,,Video Type 5,,,Video Type 6,,,Video Type 7,,,Video Type 8,,,Video Type 9,,,Video Type 10,,,Video Type 11,,,Video Type 12,,,Video Type Duplicate 1,,,Video Type Duplicate 2,,
,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,11,79.9,Prox Sensor Random,13,31.1,Prox Sensor Random,,,,51,63.3,Prox Sensor Random,53,0.3,Left Wheel Zero,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 7,Seed 113,Exp 11,,Seed 121,Exp 12,,Seed 118,Exp 8,,Seed 126,Exp 4,,,,,Exp 165,Exp 10,,Seed 132,Exp 1,,Seed 162,Exp 3,,Seed 245,Exp 6,,Seed 237,Exp 2,,,,,Seed 212,Exp 7,,Seed 126 (Exact same as type 4),Exp 5,Type 4,Seed 234,Exp 9,Type 12
Guesses,11,101,No stop @ food,19,138,nada,7,48,Leaves food when was Beacon,NONE,NONE,NONE,,,,1,172,"slow while alone, Red yay",2,125,but should've been earlier lol,NONE,NONE,NONE,1,49,nada,26,58,,,,,62,90,nada,NONE,NONE,NONE,15,96,nada
,11-Revoke,140,Stopped @ food,19-Revoke,166,Moved off wall,,,,,,,,,,,,,,,,,,,5,114,on wall,nada,nada,"Some stuck on wall, but I feel like that is just proximity confusion",,,,45,146,nada,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,114,on wall,,,,,,,45-Revoke,160,nada,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0-Revoke,181,got off wall,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,1,14.4,Prox Sensor Random,2,60.6,Left Wheel Zero,61,40.4,Prox Sensor Random,0,52,Prox Sensor Random,26,0,Left Wheel Zero,,,,23,71.6,Left Wheel Zero,NONE,NONE,NONE,15,77,Left Wheel Zero
,,,,,,,,,,,,,,,,,,,,,,,,,5,74.8,Prox Sensor Random,56,37,Prox Sensor Random,,,,62,46.5,Left Wheel Zero,,,,4,70.3,Prox Sensor Random
