Individual,Num_Faults,LEDS,Swarm_Size,user_order,Wheel_Fault,Prox_Fault,Bal_Avg,Video Type,TP,TN,FP,FN,MCC,Fault_Type1,Fault_Type2
16,2,ON,LARGE,16,NONE,YES,0.75,10,,,,,,PROX,PROX
16,2,OFF,SMALL,16,NONE,YES,1,11,,,,,,PROX,PROX
16,2,OFF,LARGE,16,NONE,YES,0.5,12,,,,,,PROX,PROX
17,0,ON,SMALL,17,NONE,NONE,1,1,,,,,,NONE,NONE
17,0,ON,LARGE,17,NONE,NONE,1,2,,,,,,NONE,NONE
17,0,OFF,SMALL,17,NONE,NONE,0.5625,3,,,,,,NONE,NONE
17,0,OFF,LARGE,17,NONE,NONE,1,4,,,,,,NONE,NONE
17,1,ON,SMALL,17,NONE,YES,0.433333333,5,,,,,,PROX,NONE
17,1,ON,LARGE,17,YES,NONE,1,6,,,,,,WHEEL,NONE
17,1,OFF,SMALL,17,NONE,YES,1,7,,,,,,PROX,NONE
17,1,OFF,LARGE,17,YES,NONE,1,8,,,,,,WHEEL,NONE
17,2,ON,SMALL,17,YES,YES,1,9,,,,,,WHEEL,PROX
17,2,ON,LARGE,17,YES,NONE,1,10,,,,,,WHEEL,WHEEL
17,2,OFF,SMALL,17,YES,NONE,1,11,,,,,,WHEEL,WHEEL
17,2,OFF,LARGE,17,NONE,YES,1,12,,,,,,PROX,PROX
18,0,ON,SMALL,18,NONE,NONE,1,1,,,,,,NONE,NONE
18,0,ON,LARGE,18,NONE,NONE,1,2,,,,,,NONE,NONE
18,0,OFF,SMALL,18,NONE,NONE,1,3,,,,,,NONE,NONE
18,0,OFF,LARGE,18,NONE,NONE,1,4,,,,,,NONE,NONE
18,1,ON,SMALL,18,YES,NONE,1,5,,,,,,WHEEL,NONE
18,1,ON,LARGE,18,YES,NONE,0.5,6,,,,,,WHEEL,NONE
18,1,OFF,SMALL,18,NONE,YES,1,7,,,,,,PROX,NONE
18,1,OFF,LARGE,18,NONE,YES,0.5,8,,,,,,PROX,NONE
18,2,ON,SMALL,18,YES,YES,1,9,,,,,,WHEEL,PROX
18,2,ON,LARGE,18,NONE,YES,1,10,,,,,,PROX,PROX
18,2,OFF,SMALL,18,YES,NONE,1,11,,,,,,WHEEL,WHEEL
18,2,OFF,LARGE,18,YES,YES,0.75,12,,,,,,WHEEL,PROX
19,0,ON,SMALL,19,NONE,NONE,1,1,,,,,,NONE,NONE
19,0,ON,LARGE,19,NONE,NONE,1,2,,,,,,NONE,NONE
19,0,OFF,SMALL,19,NONE,NONE,1,3,,,,,,NONE,NONE
