user_num,fault_type1,fault_type2,bal_acc,vid_type
23,WHEEL,WHEEL,0.75,11
23,WHEEL,PROX,0.75,12
24,NONE,NONE,1.0,1
24,NONE,NONE,1.0,2
24,NONE,NONE,1.0,3
24,NONE,NONE,1.0,4
24,WHEEL,NONE,1.0,5
24,WHEEL,NONE,1.0,6
24,PROX,NONE,1.0,7
24,PROX,NONE,0.5,8
24,PROX,PROX,1.0,9
24,WHEEL,PROX,0.5,10
24,WHEEL,PROX,1.0,11
24,WHEEL,WHEEL,0.5,12
25,NONE,NONE,1.0,1
25,NONE,NONE,1.0,2
25,NONE,NONE,1.0,3
25,NONE,NONE,1.0,4
25,PROX,NONE,1.0,5
25,PROX,NONE,1.0,6
25,WHEEL,NONE,1.0,7
25,WHEEL,NONE,0.5,8
25,WHEEL,WHEEL,1.0,9
25,WHEEL,WHEEL,1.0,10
25,PROX,PROX,1.0,11
25,PROX,PROX,0.75,12
26,NONE,NONE,1.0,1
26,NONE,NONE,1.0,2
26,NONE,NONE,1.0,3
26,NONE,NONE,1.0,4
26,WHEEL,NONE,1.0,5
26,WHEEL,NONE,0.9920634920634921,6
26,PROX,NONE,1.0,7
26,PROX,NONE,1.0,8
26,WHEEL,PROX,1.0,9
26,PROX,PROX,1.0,10
26,WHEEL,WHEEL,1.0,11
26,WHEEL,PROX,0.5,12
27,NONE,NONE,1.0,1
27,NONE,NONE,0.984375,2
27,NONE,NONE,1.0,3
27,NONE,NONE,1.0,4
27,PROX,NONE,0.5,5
27,PROX,NONE,0.5,6
27,WHEEL,NONE,0.5,7
27,WHEEL,NONE,0.5,8
27,PROX,PROX,1.0,9
27,WHEEL,PROX,0.9838709677419355,10
27,WHEEL,PROX,1.0,11
27,WHEEL,WHEEL,0.75,12
28,NONE,NONE,0.875,1
28,NONE,NONE,0.859375,2
28,NONE,NONE,0.8125,3
28,NONE,NONE,0.921875,4
28,WHEEL,NONE,0.8666666666666667,5
28,WHEEL,NONE,0.9682539682539683,6
28,PROX,NONE,0.9,7
28,PROX,NONE,0.3333333333333333,8
28,WHEEL,WHEEL,0.35714285714285715,9
28,WHEEL,WHEEL,0.4435483870967742,10
28,PROX,PROX,0.8214285714285714,11
28,PROX,PROX,0.3548387096774194,12
29,NONE,NONE,1.0,1
29,NONE,NONE,1.0,2
29,NONE,NONE,1.0,3
29,NONE,NONE,1.0,4
29,PROX,NONE,1.0,5
29,PROX,NONE,1.0,6
29,WHEEL,NONE,1.0,7
29,WHEEL,NONE,0.5,8
29,WHEEL,PROX,1.0,9
29,PROX,PROX,0.49193548387096775,10
29,WHEEL,WHEEL,0.75,11
29,WHEEL,PROX,0.5,12
30,NONE,NONE,1.0,1
30,NONE,NONE,1.0,2
30,NONE,NONE,0.9375,3
30,NONE,NONE,1.0,4
30,WHEEL,NONE,1.0,5
30,WHEEL,NONE,0.5,6
30,PROX,NONE,1.0,7
30,PROX,NONE,0.5,8
30,PROX,PROX,0.9642857142857143,9
30,WHEEL,PROX,0.75,10
30,WHEEL,PROX,1.0,11
30,WHEEL,WHEEL,0.75,12
31,NONE,NONE,1.0,1
31,NONE,NONE,1.0,2
31,NONE,NONE,0.9375,3
31,NONE,NONE,1.0,4
31,PROX,NONE,1.0,5
31,PROX,NONE,0.5,6
31,WHEEL,NONE,0.5,7
31,WHEEL,NONE,0.5,8
31,WHEEL,WHEEL,0.9642857142857143,9
31,WHEEL,WHEEL,0.7419354838709677,10
31,PROX,PROX,0.5,11
31,PROX,PROX,0.49193548387096775,12
32,NONE,NONE,0.9375,1
32,NONE,NONE,1.0,2
32,NONE,NONE,1.0,3
32,NONE,NONE,1.0,4
32,PROX,NONE,1.0,5
32,PROX,NONE,1.0,6
32,WHEEL,NONE,1.0,7
32,WHEEL,NONE,0.5,8
32,WHEEL,WHEEL,1.0,9
32,WHEEL,WHEEL,0.75,10
32,PROX,PROX,1.0,11
32,PROX,PROX,0.7419354838709677,12
33,NONE,NONE,1.0,1
33,NONE,NONE,1.0,2
33,NONE,NONE,1.0,3
33,NONE,NONE,1.0,4
33,PROX,NONE,0.5,5
33,PROX,NONE,0.5,6
33,WHEEL,NONE,0.5,7
33,WHEEL,NONE,0.5,8
33,PROX,PROX,0.75,9
33,WHEEL,PROX,0.75,10
33,WHEEL,PROX,0.75,11
33,WHEEL,WHEEL,0.5,12
34,NONE,NONE,1.0,1
34,NONE,NONE,1.0,2
34,NONE,NONE,1.0,3
34,NONE,NONE,1.0,4
34,WHEEL,NONE,1.0,5
34,WHEEL,NONE,0.5,6
34,PROX,NONE,0.4666666666666667,7
34,PROX,NONE,0.5,8
34,WHEEL,WHEEL,1.0,9
34,WHEEL,WHEEL,0.49193548387096775,10
34,PROX,PROX,0.5,11
34,PROX,PROX,0.75,12
35,NONE,NONE,1.0,1
35,NONE,NONE,1.0,2
35,NONE,NONE,1.0,3
35,NONE,NONE,1.0,4
35,PROX,NONE,1.0,5
35,PROX,NONE,0.5,6
35,WHEEL,NONE,1.0,7
35,WHEEL,NONE,1.0,8
35,WHEEL,PROX,1.0,9
35,PROX,PROX,0.75,10
35,WHEEL,WHEEL,1.0,11
35,WHEEL,PROX,0.75,12
36,NONE,NONE,1.0,1
36,NONE,NONE,0.984375,2
36,NONE,NONE,1.0,3
36,NONE,NONE,0.984375,4
36,WHEEL,NONE,1.0,5
36,WHEEL,NONE,0.5,6
36,PROX,NONE,1.0,7
36,PROX,NONE,1.0,8
36,WHEEL,PROX,0.7142857142857143,9
36,PROX,PROX,0.5,10
36,WHEEL,WHEEL,1.0,11
36,WHEEL,PROX,0.5,12
37,NONE,NONE,1.0,1
37,NONE,NONE,1.0,2
37,NONE,NONE,0.9375,3
37,NONE,NONE,1.0,4
37,WHEEL,NONE,1.0,5
37,PROX,NONE,1.0,6
37,WHEEL,NONE,0.9666666666666667,7
37,PROX,NONE,0.5,8
37,PROX,PROX,0.5,9
37,WHEEL,PROX,1.0,10
37,WHEEL,WHEEL,1.0,11
37,WHEEL,PROX,1.0,12
38,NONE,NONE,1.0,1
